scraper_name,min_date,max_date,total,scraper_type,development status,deployment,id,domain,memo,Total,Last,Scraped,Downloaded,Scraped_Percentage,Downloaded_Percentage,Completed Flag,,New,Scraped,Downloaded,Scraped_Percentage,Downloaded_Percentage,Change,Scraped,Downloaded,Scraped_Percentage,Downloaded_Percentage, 
Gedling,2002-05-23,2024-02-09,21888,Idox,Scraper Gen2 (No comment 87), ,148,, ,21832.0,,21434,17405,98.18%,79.72%,,-,,21434,17405,98.18%,79.72%,,0.0,0.0,0.00%,0.00%,
Glamorgan,1999-04-03,2024-02-12,39035,Atrium,, ,149,, ,38937.0,,38680.0,36743.0,99.34%,94.37%,,-,,38680.0,36743.0,99.34%,94.37%,,0.0,0.0,0.00%,0.00%,
Glasgow,2002-05-23,2024-02-15,63576,Idox,Scraper Gen2 (Dict - 88), ,150,, ,63481.0,,62981,62616,99.21%,98.64%,,-,,62981,62616,99.21%,98.64%,,0.0,0.0,0.00%,0.00%,
Gloucester,1999-07-20,2024-02-10,22295,Idox,Scraper Gen1*,part,151,publicaccess.gloucester.gov.uk/, ,22228.0,,19674,13234,88.51%,59.54%,,2019-2021,,19674,13234,88.51%,59.54%,,0.0,0.0,0.00%,0.00%,
Gloucestershire,2002-03-12,2024-01-22,1861,Idox,Not ready (new doc system 90),x,152,, ,1857.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Gosport,2002-05-23,2024-02-14,11196,Idox,Scraper Gen1, ,153,,many applications are unavailable,11169.0,,11156,10298,99.88%,92.20%,,-,,11156,10298,99.88%,92.20%,,0.0,0.0,0.00%,0.00%,
Gravesham,2000-06-13,2024-02-15,25429,Idox,Not ready (new doc system 92),x,154,, ,25318.0,,3757,2763,14.84%,10.91%,,,,4402,3194,17.39%,12.62%,,645.0,431.0,2.55%,1.70%,
GreatYarmouth,2000-01-04,2024-02-07,21500,Ocella,, ,155,, ,21462.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Greenwich,2001-05-15,2024-02-16,73464,Idox,Scraper Gen1,add whitelist,156,planning.royalgreenwich.gov.uk, ,73112.0,,73052,69829,99.92%,95.51%,,-,,73052,69829,99.92%,95.51%,,0.0,0.0,0.00%,0.00%,
Guernsey,2008-08-05,2024-02-12,25871,AppSearchServ,, ,157,, ,25740.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Guildford,1999-01-29,2024-02-15,67642,Idox,Scraper Gen1,-x,158,,url typo: should be 'publicaccess.guildford.gov.uk/online-applications' but some urls are 'www2.guildford.gov.uk/publicaccess',67310.0,,49281,48241,73.21%,71.67%,,2003-2009,,49281,48241,73.21%,71.67%,,0.0,0.0,0.00%,0.00%,
Gwynedd,1999-11-05,2024-02-13,32252,Tascomi,, ,159,, ,32174.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Hackney,1999-12-22,2024-01-23,72996,Tascomi,, ,160,, ,72939.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Halton,1999-09-24,2024-02-15,17308,Custom,, ,161,pa.halton.gov.uk, ,17258.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Hambleton,1999-07-26,2024-02-15,42204,Idox,"Not ready (NEC, page load issue 95)",x,162,, ,42017.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Hammersmith,2000-01-05,2024-02-14,87805,Idox,"Scraper Gen2 (Dict, IP rotation 96)",try with oxylabs,163,public-access.lbhf.gov.uk/, ,87560.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Hampshire,1999-01-07,2023-04-13,5432,Custom,, ,164,, ,4387.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Harborough,2002-05-23,2024-02-15,39980,Idox,Scraper Gen1, ,165,, ,39802.0,,38821,38490,97.54%,96.70%,,"2018, 2023",,38821,38490,97.54%,96.70%,,0.0,0.0,0.00%,0.00%,
Haringey,1999-12-22,2024-02-16,71325,Custom,, ,166,, ,70998.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Harlow,2000-01-05,2024-02-13,14880,Idox,Scraper Gen1,- m12 scraper 11 whitelist?,167,, ,14820.0,,12789,12724,86.30%,85.86%,,2013-2016,,12789,12724,86.30%,85.86%,,0.0,0.0,0.00%,0.00%,
Harrogate,2002-05-28,2024-02-12,76624,Idox,Scraper Gen1,no rotation.,168,, ,76322.0,,74815,68851,98.03%,90.21%,,-,,74815,68851,98.03%,90.21%,,0.0,0.0,0.00%,0.00%,
Harrow,1999-12-23,2024-02-14,88992,Tascomi,, ,169,, ,88745.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Hart,2000-01-05,2024-02-14,53189,Idox,Scraper Gen1,part,170,publicaccess.hart.gov.uk/, ,52948.0,,52583.0,42942.0,99.31%,81.10%,,-,,52583.0,42942.0,99.31%,81.10%,,0.0,0.0,0.00%,0.00%,
Hartlepool,1999-08-23,2024-02-13,16016,AppSearchServ,, ,171,, ,15984.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Hastings,2000-01-05,2024-02-12,22011,Idox,Scraper Gen1, ,172,, ,21950.0,,21199,20941,96.58%,95.40%,,2017,,21199,20941,96.58%,95.40%,,0.0,0.0,0.00%,0.00%,
Havant,1999-01-01,2024-02-16,27169,Idox,Scraper Gen1, ,173,, ,27077.0,,27013,26813,99.76%,99.03%,1,-,,27013,26813,99.76%,99.03%,,0.0,0.0,0.00%,0.00%,
Havering,1999-12-23,2024-02-15,68588,Ocella,, ,174,development.havering.gov.uk, ,68256.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Hereford,1999-01-24,2024-02-14,82372,Custom,, ,175,, ,82065.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Hertfordshire,1999-12-22,2023-12-19,1799,Atrium,, ,176,, ,1799.0,,1752,1317,97.39%,73.21%,,-,,1752,1317,97.39%,73.21%,,0.0,0.0,0.00%,0.00%,
Hertsmere,2002-05-23,2024-02-14,39806,Idox,Scraper Gen1, ,177,, ,39631.0,,38951,38689,98.28%,97.62%,1,-,,38951,38689,98.28%,97.62%,,0.0,0.0,0.00%,0.00%,
Highland,2000-01-06,2024-02-12,87024,Idox,Scraper Gen1 (IP rotation 104),part,178,wam.highland.gov.uk, ,86846.0,,86585,81622,99.70%,93.98%,,- final check,,86588,81623,99.70%,93.99%,,3.0,1.0,0.00%,0.00%,
HighPeak,1999-12-30,2024-02-16,22143,AppSearchServ,, ,179,, ,22041.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Hillingdon,2000-01-04,2024-02-14,91997,Ocella,, ,180,, ,91670.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Hinckley,2000-01-05,2024-02-15,29084,Idox,Scraper Gen2 (No comment & Northgate 105), ,181,, ,28948.0,,28867,19488,99.72%,67.32%,,-,,28867,19488,99.72%,67.32%,,0.0,0.0,0.00%,0.00%,
Horsham,2002-05-23,2024-02-15,60962,Idox,Scraper Gen2 (Northgate 106), ,182,, ,60779.0,,60688,55720,99.85%,91.68%,,-,,60688,55720,99.85%,91.68%,,0.0,0.0,0.00%,0.00%,
Hounslow,1999-11-19,2024-02-16,95941,Thames,, ,183,, ,95572.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Hull,2002-01-10,2024-02-14,30355,Idox,Scraper Gen1, ,184,, ,30252.0,,30233,22219,99.94%,73.45%,,-,,30233,22219,99.94%,73.45%,,0.0,0.0,0.00%,0.00%,
Huntingdonshire,2000-01-05,2024-02-14,56689,Idox,Scraper Gen2 (Northgate 108) since 2003,no rotation.,185,, ,56456.0,,55887,12581,98.99%,22.28%,,-,,55887,12581,98.99%,22.28%,,0.0,0.0,0.00%,0.00%,
Hyndburn,1999-12-14,2024-02-13,14509,EnterpriseStore,, ,186,, ,14443.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Inverclyde,2005-02-05,2024-02-13,7167,Idox,Scraper Gen,x,187,, ,7133.0,,6732,5509,94.38%,77.23%,,,,6732,5509,94.38%,77.23%,,0.0,0.0,0.00%,0.00%,
IOW,2002-05-03,2024-02-14,50260,Idox,Scraper Gen2 (Dict -110), ,188,, ,50049.0,,49907,49566,99.72%,99.03%,1,-,,49907,49566,99.72%,99.03%,,0.0,0.0,0.00%,0.00%,
Ipswich,1999-12-24,2024-02-13,27198,Custom,, ,189,, ,27090.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
IsleOfMan,1999-06-30,2024-02-15,44470,Custom,, ,190,, ,44310.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Islington,1999-12-30,2024-02-12,81700,PlanningExplorer,, ,191,, ,81512.0,,70053,59782,85.94%,73.34%,,,,70053,59782,85.94%,73.34%,,0.0,0.0,0.00%,0.00%,
Jersey,2000-01-04,2024-02-15,37428,Custom,, ,192,, ,37265.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Kensington,1999-08-26,2024-02-15,101893,Custom,, ,193,www.rbkc.gov.uk, ,101352.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Kent,2001-02-01,2024-02-01,8748,Atrium,, ,194,, ,8736.0,,8616.0,8165.0,98.63%,93.46%,,-,,8616.0,8165.0,98.63%,93.46%,,0.0,0.0,0.00%,0.00%,
Kettering,2000-01-04,2024-02-14,22867,Custom,, ,195,, ,22759.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
KingsLynn,2000-01-05,2024-02-14,56049,Idox,Scraper Gen1, ,196,, ,55537.0,,55403,53901,99.76%,97.05%,,-,,55403,53901,99.76%,97.05%,,0.0,0.0,0.00%,0.00%,
Kingston,1999-07-09,2024-02-15,120679,Idox,Scraper Gen1,try with oxylabs,197,publicaccess.kingston.gov.uk/,many applications are unavailable,120504.0,,98348,85692,81.61%,71.11%,,,,98772,85899,81.97%,71.28%,,424.0,207.0,0.35%,0.17%,
Kirklees,1999-11-04,2024-02-15,102471,Custom,, ,198,, ,102140.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Knowsley,2000-01-05,2024-02-15,17943,Idox,Scraper Gen2 (NEC 113), ,199,, ,17897.0,,16863,14151,94.22%,79.07%,,2017-2020,,16863,14151,94.22%,79.07%,,0.0,0.0,0.00%,0.00%,
LakeDistrict,1999-01-19,2024-02-14,35298,Agile,, ,200,, ,35188.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Lambeth,2002-05-23,2024-02-12,92156,Idox,Scraper Gen1,no rotation.,201,, ,91885.0,,91774,80614,99.88%,87.73%,,- final check,,91776,80616,99.88%,87.74%,,2.0,2.0,0.00%,0.00%,
Lancashire,2000-04-12,2024-02-07,5042,Atrium,, ,202,, ,5033.0,,5006,4993,99.46%,99.21%,1,-,,5006,4993,99.46%,99.21%,,0.0,0.0,0.00%,0.00%,
Lancaster,2001-02-28,2024-02-15,33993,Idox,Scraper Gen2 (NEC 115),,203,planning.lancaster.gov.uk, ,33808.0,,33612,25640,99.42%,75.84%,,- final check,,33612,25640,99.42%,75.84%,,0.0,0.0,0.00%,0.00%,
Leeds,1999-12-24,2024-02-16,171072,Idox,Scraper Gen1*, ,204,, ,170219.0,,167719,162127,98.53%,95.25%,,-,,167719,162127,98.53%,95.25%,,0.0,0.0,0.00%,0.00%,
Leicester,1999-03-16,2024-02-07,55485,Atrium,, ,205,, ,55335.0,,51778,43323,93.57%,78.29%,,2018,,51778,43323,93.57%,78.29%,,0.0,0.0,0.00%,0.00%,
Leicestershire,1999-12-21,2024-02-12,6587,Atrium,, ,206,, ,6556.0,,6033,5888,92.02%,89.81%,,-,,6033,5888,92.02%,89.81%,,0.0,0.0,0.00%,0.00%,
Lewes,2002-05-23,2024-02-14,26966,Idox,Scraper Gen2 (Civica 117), ,207,, ,26869.0,,26840,24255,99.89%,90.27%,,-,,26840,24255,99.89%,90.27%,,0.0,0.0,0.00%,0.00%,
Lewisham,2001-08-31,2024-01-26,91667,Idox,Scraper Gen1 (IP rotation 118),try with oxylabs,208,planning.lewisham.gov.uk, ,91513.0,,45901,40934,50.16%,44.73%,,,,45901,40934,50.16%,44.73%,,0.0,0.0,0.00%,0.00%,
Lichfield,1999-04-13,2024-02-12,29040,Idox,Scraper Gen2 (No comment public 119),no rotation.,209,, ,28964.0,,28441,28139,98.19%,97.15%,,-,,28441,28139,98.19%,97.15%,,0.0,0.0,0.00%,0.00%,
Lincoln,1999-12-23,2024-02-14,20693,Idox,Scraper Gen,x,210,, ,20619.0,,19151,17307,92.88%,83.94%,,,,19151,17307,92.88%,83.94%,,0.0,0.0,0.00%,0.00%,
Lincolnshire,2002-10-11,2024-02-13,2791,Atrium,, ,211,, ,2777.0,,2605,2324,93.81%,83.69%,,-,,2605,2324,93.81%,83.69%,,0.0,0.0,0.00%,0.00%,
LisburnCastlereagh,1999-06-25,2024-02-13,34205,NIPortal,, ,212,, ,34127.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Liverpool,2000-01-04,2024-02-14,90981,Tascomi,, ,213,, ,90703.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
LochLomond,2000-01-05,2024-02-05,8938,Idox,Scraper Gen1 (IP rotation 121), ,214,eplanning.lochlomond-trossachs.org, ,8917.0,,8852,8386,99.27%,94.05%,,-,,8852,8386,99.27%,94.05%,,0.0,0.0,0.00%,0.00%,
LondonLegacy,2006-09-07,2024-02-07,9922,SwiftLG,, ,215,, ,9887.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Luton,1999-12-29,2024-02-09,38386,Idox,Scraper Gen1, ,216,, ,38282.0,,38156,38047,99.67%,99.39%,,-,,38156,38047,99.67%,99.39%,,0.0,0.0,0.00%,0.00%,
Maldon,2000-05-04,2024-02-13,29361,Idox,Scraper Gen2 (Civica 123), ,217,, ,29242.0,,28974,27605,99.08%,94.40%,,- final check,,28974,27605,99.08%,94.40%,,0.0,0.0,0.00%,0.00%,
MalvernHills,1999-06-17,2024-02-13,38612,Atrium,, ,218,, ,38517.0,,37190,28393,96.55%,73.72%,,-,,37190,28393,96.55%,73.72%,,0.0,0.0,0.00%,0.00%,
Manchester,2000-01-05,2024-02-13,77257,Idox,Scraper Gen2 (No comment 124),no rotation.,219,, ,76877.0,,76844,74708,99.96%,97.18%,1,-,,76844,74708,99.96%,97.18%,,0.0,0.0,0.00%,0.00%,
Mansfield,2002-05-23,2024-02-13,16315,Idox,Scraper Gen1, ,220,, ,16245.0,,15895,15799,97.85%,97.25%,,-,,15895,15799,97.85%,97.25%,,0.0,0.0,0.00%,0.00%,
Medway,2002-05-23,2024-02-15,50648,Idox,Scraper Gen1, ,221,publicaccess1.medway.gov.uk/, ,50417.0,,49180,41073,97.55%,81.47%,,2007-2008,,49180,41073,97.55%,81.47%,,0.0,0.0,0.00%,0.00%,
Melton,2002-04-26,2024-02-13,21213,Idox,Scraper Gen1, ,222,, ,21142.0,,21007,20622,99.36%,97.54%,,-,,21007,20622,99.36%,97.54%,,0.0,0.0,0.00%,0.00%,
Mendip,2000-01-05,2024-02-15,53660,Idox,Scraper Gen1,part,223,publicaccess.mendip.gov.uk/, ,53446.0,,52594.0,47153.0,98.41%,88.23%,,-,,52594.0,47153.0,98.41%,88.23%,,0.0,0.0,0.00%,0.00%,
MerthyrTydfil,2000-01-05,2024-02-15,10936,Idox,Scraper Gen2 (Northgate 129), ,224,, ,10899.0,,10895,7087,99.96%,65.02%,,-,,10895,7087,99.96%,65.02%,,0.0,0.0,0.00%,0.00%,
Merton,1999-12-23,2024-02-14,83316,PlanningExplorer,, ,225,, ,82971.0,,54883,43878,66.15%,52.88%,,,,55792,44474,67.24%,53.60%,,909.0,596.0,1.10%,0.72%,
MidDevon,2002-01-16,2024-02-14,34501,Idox,Scraper Gen1, ,226,, ,34339.0,,34329,34065,99.97%,99.20%,1,-,,34329,34065,99.97%,99.20%,,0.0,0.0,0.00%,0.00%,
Middlesbrough,1999-12-23,2024-02-15,20768,Agile,, ,227,, ,20706.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
MidEastAntrim,1999-11-22,2024-02-14,31073,NIPortal,, ,228,, ,30979.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
MidKent,2001-06-22,2024-02-15,97229,Idox,Scraper Gen2 (IP rotation & No comment 131),try with oxylabs,229,pa.midkent.gov.uk, ,96730.0,,76229,56833,78.81%,58.75%,,"2012-2014, 2018-2023",,76229,56833,78.81%,58.75%,,0.0,0.0,0.00%,0.00%,
Midlothian,2002-11-25,2024-02-14,15995,Idox,Scraper Gen1,part,230,planning-applications.midlothian.gov.uk/,applications between 2002 and 2005 are unavailable,15904.0,,13527.0,10036.0,85.05%,63.10%,,-,,13527.0,10036.0,85.05%,63.10%,,0.0,0.0,0.00%,0.00%,
MidSussex,2002-05-28,2024-02-14,56581,Idox,Scraper Gen2 (Northgate 133), ,231,, ,56356.0,,56210,45913,99.74%,81.47%,,-,,56210,45913,99.74%,81.47%,,0.0,0.0,0.00%,0.00%,
MidUlster,2001-09-19,2024-02-16,50216,Idox,Scraper Gen1,part,232,planning.midulstercouncil.org/, ,50040.0,,36940.0,25550.0,73.82%,51.06%,,2003-2007,,36940.0,25550.0,73.82%,51.06%,,0.0,0.0,0.00%,0.00%,
MiltonKeynes,2003-11-20,2024-01-30,47716,Idox,Scraper Gen2 (Northgate 135),-x,233,,page removed,47576.0,,40210,17627,84.52%,37.05%,,2017-2020,,40210,17627,84.52%,37.05%,,0.0,0.0,0.00%,0.00%,
MoleValley,1999-12-27,2024-02-13,50648,Agile,, ,234,, ,50456.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Monmouthshire,1999-09-15,2024-02-14,30587,Idox,Scraper Gen1,no rotation.,235,,Forbidden (don't have permission to access),30372.0,,27913,24877,91.90%,81.91%,,"2008-2009, 2018",,27913,24877,91.90%,81.91%,,0.0,0.0,0.00%,0.00%,
Moray,2002-05-23,2024-02-13,24930,Idox,Scraper Gen1*, ,236,, ,24843.0,,24160,20770,97.25%,83.61%,,2020,,24160,20770,97.25%,83.61%,,0.0,0.0,0.00%,0.00%,
Neath,2000-01-05,2024-02-13,29270,Idox,Not ready (new doc system 138),x,237,, ,29208.0,,5972,4380,20.45%,15.00%,,,,6485,4755,22.20%,16.28%,,513.0,375.0,1.76%,1.28%,
Newark,2002-02-07,2024-02-14,42461,Idox,Scraper Gen1, ,238,, ,42228.0,,40674,39954,96.32%,94.61%,,2015-2019,,40674,39954,96.32%,94.61%,,0.0,0.0,0.00%,0.00%,
NewcastleUnderLyme,2003-05-22,2024-01-31,25820,Idox,"Not ready (Dict, Northgate-ver.2009 140)",x,239,, ,25754.0,,4545,3386,17.65%,13.15%,,,,5146,3771,19.98%,14.64%,,601.0,385.0,2.33%,1.49%,
NewcastleUponTyne,1999-12-30,2024-02-12,64544,Tascomi,, ,240,, ,64391.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
NewForest,2000-01-05,2024-02-14,48411,Idox,Scraper Gen1, ,241,, ,48274.0,,46319,44101,95.95%,91.36%,,2021,,46319,44101,95.95%,91.36%,,0.0,0.0,0.00%,0.00%,
NewForestPark,1999-10-28,2024-02-14,46750,Agile,, ,242,, ,46617.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Newham,1999-11-09,2024-02-15,54232,Idox,Scraper Gen1 (IP rotation 142),part,243,pa.newham.gov.uk, ,54004.0,,53868,34280,99.75%,63.48%,,- final check,,53878,34280,99.77%,63.48%,,10.0,0.0,0.02%,0.00%,
Newport,1999-01-29,2024-02-14,33142,Idox,Scraper Gen2 (Northgate 143),add whitelist?,244,publicaccess.newport.gov.uk,theApnID=,33018.0,,0,0,0.00%,0.00%,,all,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
NewryMourneDown,1999-05-19,2024-02-07,59217,NIPortal,, ,245,, ,59160.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
NIP,2010-08-05,2024-02-09,173,Custom,, ,246,, ,171.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Norfolk,1999-03-31,2024-02-07,5841,Atrium,, ,247,, ,5834.0,,5774,5116,98.97%,87.69%,,-,,5774,5116,98.97%,87.69%,,0.0,0.0,0.00%,0.00%,
NorthAyrshire,2000-01-06,2024-02-16,20049,Idox,Scraper Gen1, ,248,, ,19984.0,,19983,19814,99.99%,99.15%,1,-,,19983,19814,99.99%,99.15%,,0.0,0.0,0.00%,0.00%,
NorthDevon,1999-08-03,2024-02-15,43855,Atrium,, ,249,, ,43701.0,,42114,40850,96.37%,93.48%,,-,,42114,40850,96.37%,93.48%,,0.0,0.0,0.00%,0.00%,
NorthEastDerbyshire,2002-05-23,2024-02-12,26985,Idox,Scraper Gen2 (missing 145), ,250,, ,26885.0,,24245,23390,90.18%,87.00%,,2019-2023,,24245,23390,90.18%,87.00%,,0.0,0.0,0.00%,0.00%,
NorthEastLincs,2002-06-05,2024-02-15,26582,Idox,Scraper Gen1,part,251,planninganddevelopment.nelincs.gov.uk/, ,26478.0,,20337,19650,76.81%,74.21%,,2017-2023,,20337,19650,76.81%,74.21%,,0.0,0.0,0.00%,0.00%,
NorthHertfordshire,2001-05-04,2024-02-16,46396,Idox,Scraper Gen2 (NEC 147), ,252,, powered-by NEC issue,46157.0,,45924,36429,99.50%,78.92%,,- final check,,45924,36429,99.50%,78.92%,,0.0,0.0,0.00%,0.00%,
NorthKesteven,2000-01-05,2024-02-12,35786,Idox,Scraper Gen1,part,253,planningonline.n-kesteven.gov.uk/, ,35633.0,,35493.0,32018.0,99.61%,89.85%,,-,,35493.0,32018.0,99.61%,89.85%,,0.0,0.0,0.00%,0.00%,
NorthLanarkshire,2000-01-05,2024-02-13,38243,Idox,Scraper Gen1*,part,254,eplanning.northlanarkshire.gov.uk/, ,38159.0,,37972.0,28665.0,99.51%,75.12%,,-,,37972.0,28665.0,99.51%,75.12%,,0.0,0.0,0.00%,0.00%,
NorthLincs,2015-12-29,2024-02-16,11289,Custom,, ,255,, ,11153.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
NorthNorfolk,2002-05-28,2024-02-13,51214,Idox,Scraper Gen1, ,256,, ,50963.0,,50485,50028,99.06%,98.17%,,-,,50485,50028,99.06%,98.17%,,0.0,0.0,0.00%,0.00%,
NorthNorthants,2019-03-14,2023-09-22,59,Northants,, ,257,, ,59.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
NorthSomerset,2002-05-31,2024-02-14,60185,Idox,Scraper Gen1*, ,258,, ,59958.0,,59909,57633,99.92%,96.12%,1,-,,59909,57633,99.92%,96.12%,,0.0,0.0,0.00%,0.00%,
NorthTyneside,1999-08-11,2024-02-15,35421,Idox,Scraper Gen1, ,259,, ,35290.0,,34614,34396,98.08%,97.47%,1,-,,34614,34396,98.08%,97.47%,,0.0,0.0,0.00%,0.00%,
Northumberland,2000-01-05,2024-02-16,99068,Idox,Scraper Gen1 (IP rotation 153),part,260,publicaccess.northumberland.gov.uk, ,98628.0,,98180,88807,99.55%,90.04%,,- final check,,98187,88808,99.55%,90.04%,,7.0,1.0,0.01%,0.00%,
NorthumberlandPark,2000-02-16,2024-02-13,2255,Atrium,, ,261,, ,2246.0,,2231,2200,99.33%,97.95%,1,-,,2231,2200,99.33%,97.95%,,0.0,0.0,0.00%,0.00%,
NorthWarwickshire,1999-12-23,2024-02-12,19144,AppSearchServ,, ,262,, ,19067.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
NorthWestLeicestershire,2002-05-24,2024-02-14,25684,Idox,Scraper Gen,x,263,, ,25545.0,,23097,20335,90.42%,79.60%,,,,23097,20335,90.42%,79.60%,,0.0,0.0,0.00%,0.00%,
NorthYorkMoors,1999-12-23,2024-02-09,18516,PlanningExplorer,, ,264,, ,18431.0,,15925,11820,86.40%,64.13%,,,,15925,11820,86.40%,64.13%,,0.0,0.0,0.00%,0.00%,
NorthYorkshire,2000-01-04,2024-02-08,5120,Custom,, ,265,, ,5117.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Norwich,2004-11-29,2024-02-13,24624,Idox,Not ready (Civica-ver.2006 155),x,266,, ,24503.0,,2727,1958,11.13%,7.99%,,,,3279,2319,13.38%,9.46%,,552.0,361.0,2.25%,1.47%,
Nottingham,2000-01-05,2024-02-13,55550,Idox,Scraper Gen1, ,267,, ,55393.0,,55361,49593,99.94%,89.53%,,-,,55361,49593,99.94%,89.53%,,0.0,0.0,0.00%,0.00%,
Nottinghamshire,1999-11-10,2024-01-23,3322,Custom,, ,268,, ,3318.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Nuneaton,1999-08-20,2019-10-15,14465,Custom,, ,269,, ,14462.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Oadby,2004-03-15,2024-02-07,10718,Idox,Scraper Gen1*, ,270,, ,10686.0,,10683,10637,99.97%,99.54%,1,-,,10683,10637,99.97%,99.54%,,0.0,0.0,0.00%,0.00%,
Oldham,1999-12-20,2024-02-13,40319,Idox,Scraper Gen1,add whitelist?,271,planningpa.oldham.gov.uk, ,40227.0,,32585,32162,81.00%,79.95%,,"2000-2002, 2011, 2016-2017, 2020",,32585,32162,81.00%,79.95%,,0.0,0.0,0.00%,0.00%,
OldOakParkRoyal,2015-04-01,2024-02-12,1642,Agile,, ,272,, ,1624.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Orkney,2005-01-05,2024-02-01,10649,Idox,Scraper Gen1*, ,273,, ,10631.0,,10594,7725,99.65%,72.66%,,-,,10594,7725,99.65%,72.66%,,0.0,0.0,0.00%,0.00%,
Oxford,2002-05-23,2024-02-15,60382,Idox,Scraper Gen1, ,274,, ,60105.0,,59917,58567,99.69%,97.44%,,-,,59917,58567,99.69%,97.44%,,0.0,0.0,0.00%,0.00%,
