scraper_name,min_date,max_date,total,scraper_type,development status,deployment,id,domain,memo,Total,Last,Scraped,Downloaded,Scraped_Percentage,Downloaded_Percentage,Completed Flag,,New,Scraped,Downloaded,Scraped_Percentage,Downloaded_Percentage,Change,Scraped,Downloaded,Scraped_Percentage,Downloaded_Percentage, 
Torbay,2002-05-23,2024-02-13,36640,Idox,Scraper Gen1 (IP rotation 223*),part,374,publicaccess.torbay.gov.uk,many applications are unavailable,36538.0,,28898,6799,79.09%,18.61%,,"2007-2008, 2011-2015",,28898,6799,79.09%,18.61%,,0.0,0.0,0.00%,0.00%,
Torfaen,2000-01-05,2024-02-14,16879,Idox,Scraper Gen1, ,375,, ,16830.0,,16781,16672,99.71%,99.06%,,-,,16781,16672,99.71%,99.06%,,0.0,0.0,0.00%,0.00%,
Torridge,2002-05-23,2024-02-14,28421,Idox,Scraper Gen1 (IP rotation 225),part,376,publicaccess.torridge.gov.uk, ,28305.0,,27914.0,26742.0,98.62%,94.48%,,2021,,27914.0,26742.0,98.62%,94.48%,,0.0,0.0,0.00%,0.00%,
TowerHamlets,2000-01-04,2024-01-31,77182,Idox,"Scraper Gen
 (Dict, recaptcha for docs 226)",x,377,, ,77050.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Trafford,1999-12-23,2024-02-16,60861,Idox,Not ready (new framework 227) ,x,378,, ,60641.0,,15734,12792,25.95%,21.09%,,,,17182,13827,28.33%,22.80%,,1448.0,1035.0,2.39%,1.71%,
TunbridgeWells,2002-05-24,2024-02-15,73824,Idox,Scraper Gen2 (No comment 228),part,379,, ,73539.0,,68894,61584,93.68%,83.74%,,2017-2022,,68896,61586,93.69%,83.75%,,2.0,2.0,0.00%,0.00%,
Uttlesford,2002-06-05,2024-02-15,54898,Idox,Scraper Gen1,part,380,publicaccess.uttlesford.gov.uk/, ,54592.0,,54562.0,46472.0,99.95%,85.13%,,-,,54562.0,46472.0,99.95%,85.13%,,0.0,0.0,0.00%,0.00%,
Wakefield,2000-01-05,2024-02-12,65065,Idox,Scraper Gen2 (IP rotation & No comment 230),try with oxylabs,381,planning.wakefield.gov.uk, ,64889.0,,30006,8825,46.24%,13.60%,,,,30006,8825,46.24%,13.60%,,0.0,0.0,0.00%,0.00%,
Walsall,1999-01-11,2024-02-14,44883,SwiftLG,, ,382,, ,44758.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
WalthamForest,2000-01-05,2024-02-15,63778,Tascomi,, ,383,, ,62352.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Wandsworth,1999-12-28,2024-02-15,132001,PlanningExplorer,, ,384,, ,131433.0,,119531,104536,90.94%,79.54%,,"2000, 2022",,119531,104536,90.94%,79.54%,,0.0,0.0,0.00%,0.00%,
Warrington,1999-12-24,2024-02-09,60216,Tascomi,, ,385,, ,55091.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Warwick,2002-05-23,2024-02-15,41863,Idox,Scraper Gen1,no rotation.,386,, ,41705.0,,38594,36981,92.54%,88.67%,,2018-2019,,39216,37594,94.03%,90.14%,,622.0,613.0,1.49%,1.47%,
Warwickshire,1999-09-29,2024-01-02,1643,SwiftLG,, ,387,, ,1641.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Watford,2002-04-24,2024-02-15,27833,Idox,Scraper Gen1,part,388,pa.watford.gov.uk/, ,27735.0,,27685.0,21404.0,99.82%,77.17%,,-,,27685.0,21404.0,99.82%,77.17%,,0.0,0.0,0.00%,0.00%,
Waverley,1999-10-08,2024-02-13,65706,CivicaJson,, ,389,planning360.waverley.gov.uk, ,65466.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Wealden,1999-01-25,2024-02-13,79624,Custom,, ,390,planning.wealden.gov.uk, ,79363.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Wellingborough,1999-12-20,2024-02-06,18325,Idox,Scraper Gen1, ,391,publicaccess.wellingborough.gov.uk/, ,18251.0,,16665.0,16445.0,91.31%,90.10%,,2015-2018,,16665.0,16445.0,91.31%,90.10%,,0.0,0.0,0.00%,0.00%,
WelwynHatfield,1999-01-01,2024-02-15,50400,Atrium,, ,392,, ,49844.0,,48223,38817,96.75%,77.88%,,-,,48223,38817,96.75%,77.88%,,0.0,0.0,0.00%,0.00%,
WestBerkshire,2002-05-23,2024-02-15,60474,Idox,Scraper Gen,x,393,, ,60253.0,,28837,23190,47.86%,38.49%,,,,30211,24214,50.14%,40.19%,,1374.0,1024.0,2.28%,1.70%,
WestDunbartonshire,2002-08-27,2024-02-15,7864,Custom,, ,394,apps.west-dunbarton.gov.uk, ,7812.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
WesternIsles,2000-01-05,2023-11-02,13343,Idox,Scraper Gen,x,395,, ,13343.0,,12441,10711,93.24%,80.27%,,,,12441,10711,93.24%,80.27%,,0.0,0.0,0.00%,0.00%,
WestLancashire,2002-05-23,2024-02-09,32656,Idox,Scraper Gen1, ,396,, ,32540.0,,32273,19785,99.18%,60.80%,,-,,32273,19785,99.18%,60.80%,,0.0,0.0,0.00%,0.00%,
